date,helpful,name,rating,review,size
07-Jun-19,18 people found this helpful,krishan,5.0 out of 5 stars,Amazing performance,Size: 6GB+128GB
10-Jul-19,13 people found this helpful,Shikhan Sarkar,1.0 out of 5 stars,Check out the video.,Size: 6GB+128GB
11-Jun-19,15 people found this helpful,Gautham,1.0 out of 5 stars,Disappointed,Size: 6GB+128GB
07-Jun-19,13 people found this helpful,Ashish V.,5.0 out of 5 stars,Go Beyond Speed,Size: 6GB+128GB
13-Jun-19,15 people found this helpful,Ashok,1.0 out of 5 stars,Selling this petite and buying K20,Size: 6GB+128GB
07-Jun-19,13 people found this helpful,abhinav pandit,5.0 out of 5 stars,Display has 2 spots. Visible in bright sunlight with white wallpaper.,Size: 6GB+128GB
24-Jun-19,10 people found this helpful,Bharat,1.0 out of 5 stars,Stupid One plus+,Size: 8GB+256GB
07-Jun-19,11 people found this helpful,Aditya Ramaprasad ,5.0 out of 5 stars,U r getting a Ferrari at the price of Swift!!!!!!,Size: 6GB+128GB
07-Jun-19,15 people found this helpful,rohit,5.0 out of 5 stars,Quality,Size: 6GB+128GB
07-Jun-19,11 people found this helpful,Imran Khan,5.0 out of 5 stars,Blazingly fast for 2019 standards: Certainly still a flagship killer,Size: 6GB+128GB
07-Jun-19,13 people found this helpful,Prashant,2.0 out of 5 stars,Worst thing is that you don’t get earphones.,Size: 6GB+128GB
07-Jun-19,8 people found this helpful,Manish Singh,5.0 out of 5 stars,"Awesome screen and speed are unrivalled, the price is not :)",Size: 6GB+128GB
08-Jun-19,13 people found this helpful,Amazon Customer,1.0 out of 5 stars,Defective and useless product,Size: 8GB+256GB
07-Jun-19,15 people found this helpful,Amazon Customer,2.0 out of 5 stars,Not a Good Qulity product.,Size: 6GB+128GB
21-Jun-19,11 people found this helpful,Akshat Rangar,3.0 out of 5 stars,Phone is good but let's talk about problems.,Size: 6GB+128GB
07-Jun-19,11 people found this helpful,Amazon Customer,5.0 out of 5 stars,Great display and sound quality,Size: 6GB+128GB
08-Jun-19,8 people found this helpful,Guy Fawkes,4.0 out of 5 stars,Definitely not worth the hype,Size: 6GB+128GB
04-Jul-19,9 people found this helpful,Utkarsh Singh,2.0 out of 5 stars,Heating issues and amazon not helping,Size: 6GB+128GB
10-Jun-19,8 people found this helpful,Sarthak Banerjee,5.0 out of 5 stars,The best quality phone after latest iPhone and Google Pixel in a much lesser price.,Size: 8GB+256GB
