date,helpful,name,rating,review,size
08-Jun-19,One person found this helpful,Keyur  Parmar,3.0 out of 5 stars,Disappointing camera performance,Size: 6GB+128GB
07-Jun-19,2 people found this helpful,sanman s.,4.0 out of 5 stars,Nice phone..love it,Size: 6GB+128GB
31-Jul-19,,Raghav,4.0 out of 5 stars,Good One...!,Size: 6GB+128GB
14-Aug-19,,aditya atluri,5.0 out of 5 stars,Best flagship phone in the premium segment,Size: 6GB+128GB
01-Jul-19,,Jayaprakash,3.0 out of 5 stars,"Average Quality, Not worth for 33k",Size: 6GB+128GB
19-Jul-19,,www.gauravkhurana.in,5.0 out of 5 stars,"Good one go for it,back is of glass for which you need cover",Size: 6GB+128GB
22-Jun-19,2 people found this helpful,shalini somani,1.0 out of 5 stars,Hardware issues!,Size: 6GB+128GB
13-Jun-19,2 people found this helpful,Amazon Customer,1.0 out of 5 stars,No earphone or earphone connector,Size: 8GB+256GB
14-Jun-19,,Amazon Customer,4.0 out of 5 stars,Good but not ok,Size: 6GB+128GB
11-Aug-19,One person found this helpful,subhransu Rout,1.0 out of 5 stars,So pathetic,Size: 8GB+256GB
05-Aug-19,2 people found this helpful,Mayank Sharma,4.0 out of 5 stars,All good except fingerprint reader and no 3.5mm,Size: 6GB+128GB
29-Jul-19,,Amit Dubey,5.0 out of 5 stars,Oneplus is the real leader of smartphone market. True flagship of 2019.,Size: 8GB+256GB
12-Sep-19,,Prashanth,5.0 out of 5 stars,The best budget flagship,Size: 6GB+128GB
23-Aug-19,,Chandan Shukla,4.0 out of 5 stars,Front camera quality improvement and 3.5 mm Jack required.,Size: 6GB+128GB
06-Sep-19,,Arjun H.,5.0 out of 5 stars,Full value for money,Size: 8GB+256GB
07-Aug-19,One person found this helpful,Ankit Dubey,4.0 out of 5 stars,Camera Quality,Size: 6GB+128GB
05-Sep-19,,hitesh,1.0 out of 5 stars,Battery and Front camera issues!,Size: 8GB+256GB
18-Aug-19,,Amazon Customer,1.0 out of 5 stars,Regarding c port,Size: 6GB+128GB
09-Jul-19,,maqsood,5.0 out of 5 stars,Butter,Size: 6GB+128GB
13-Jun-19,One person found this helpful,Amazon Customer,5.0 out of 5 stars,Perfect phone for a regular user. Future proof.,Size: 6GB+128GB
18-Jul-19,,nandhakumar,5.0 out of 5 stars,If u need true premium phone.this is one for uuuuuuuu,Size: 6GB+128GB
20-Jul-19,,Sukanta Debnath,5.0 out of 5 stars,Very good phone,Size: 8GB+256GB
03-Sep-19,One person found this helpful,Chetan,1.0 out of 5 stars,1+7 = 8hit,Size: 6GB+128GB
20-Aug-19,,Revanth,4.0 out of 5 stars,Flagship killer like they say,Size: 6GB+128GB
11-Jul-19,One person found this helpful,RENIN,4.0 out of 5 stars,Ok but not great,Size: 6GB+128GB
27-Jul-19,,Hersh Shenai,1.0 out of 5 stars,Defective phone,Size: 8GB+256GB
13-Aug-19,,Sri,4.0 out of 5 stars,Price could be lesser!!,Size: 8GB+256GB
14-Jul-19,2 people found this helpful,Shekhar C.,1.0 out of 5 stars,Not value for money,Size: 8GB+256GB
20-Aug-19,,Bhawna m.,5.0 out of 5 stars,Best THE ONE IN ALL,Size: 8GB+256GB
14-Jun-19,One person found this helpful,Sailesh Mishra,5.0 out of 5 stars,Just Awesome,Size: 8GB+256GB
08-Jun-19,,Sohaib,5.0 out of 5 stars,Almost perfect,Size: 6GB+128GB
08-Jun-19,,Rohan,5.0 out of 5 stars,Vfm go ahead!,Size: 6GB+128GB
07-Jun-19,,Pankai,5.0 out of 5 stars,Superb Mobile,Size: 6GB+128GB
12-Jul-19,3 people found this helpful,Asitosh Bhagat   ,1.0 out of 5 stars,One plus phone display problam,Size: 6GB+128GB
09-Aug-19,,Jitendra singh,1.0 out of 5 stars,Total waste of Money & Time.,Size: 8GB+256GB
17-Jul-19,One person found this helpful,Shuchi Singh ,1.0 out of 5 stars,Really disappointed,Size: 6GB+128GB
29-Jul-19,One person found this helpful,Varun,5.0 out of 5 stars,OnePlus 7 Review,Size: 6GB+128GB
13-Aug-19,,yeldo raju,5.0 out of 5 stars,Given 5 stars but mentioning 2 complaints i felt.,Size: 6GB+128GB
13-Jun-19,One person found this helpful,Yavar Alo,4.0 out of 5 stars,Average phone. If you aren't a gamer based phone buyer go for galaxy M40,Size: 6GB+128GB
11-Jul-19,,Abhishek Kumar,4.0 out of 5 stars,Best phone under 30 k,Size: 6GB+128GB
01-Jul-19,2 people found this helpful,Ethesham,5.0 out of 5 stars,Not satisfied 😡,Size: 8GB+256GB
17-Aug-19,,Nishant,4.0 out of 5 stars,Not worth buying for 30k..,Size: 6GB+128GB
17-Aug-19,,abhishek ranjan,5.0 out of 5 stars,King of the phones,Size: 6GB+128GB
23-Jun-19,One person found this helpful,Amazon Customer,5.0 out of 5 stars,Budget Beast.,Size: 8GB+256GB
21-Jun-19,,Rohith P,4.0 out of 5 stars,Excellent product,Size: 8GB+256GB
07-Jun-19,,Tushar vasistha,5.0 out of 5 stars,Go buy it,Size: 8GB+256GB
28-Jul-19,,Akash Ukande,5.0 out of 5 stars,Feedback after usage of 1 month,Size: 6GB+128GB
07-Jun-19,2 people found this helpful,Gajanan,5.0 out of 5 stars,OnePlus7 is Superb Phone.,Size: 6GB+128GB
19-Jun-19,One person found this helpful,Amazon Customer,5.0 out of 5 stars,Great phone,Size: 6GB+128GB
20-Aug-19,,S R PRAVEEN,4.0 out of 5 stars,One plus 7 review,Size: 8GB+256GB
03-Aug-19,,Md Azhar Uddin,1.0 out of 5 stars,Worst service by amazon,Size: 6GB+128GB
09-Jun-19,,Rajesh G,5.0 out of 5 stars,Performance at it's best!! Excellent 😍😍😍😍,Size: 6GB+128GB
07-Jun-19,,Amazon Customer,5.0 out of 5 stars,The specs clearly beat the price,Size: 8GB+256GB
08-Jun-19,,Surakshit,4.0 out of 5 stars,Go for it!!!,Size: 6GB+128GB
21-Sep-19,One person found this helpful,Souvik,5.0 out of 5 stars,Best phone,Size: 6GB+128GB
12-Aug-19,,RAVIKUMAR,5.0 out of 5 stars,One Plus Ravi,Size: 6GB+128GB
18-Aug-19,,Pramod,5.0 out of 5 stars,Champion and blindly suggests to buy,Size: 6GB+128GB
21-Jul-19,,Jnanesh g r,5.0 out of 5 stars,OnePlus 7! Beast performance with very attractive price,Size: 6GB+128GB
22-Aug-19,One person found this helpful,Anand Vaidya,5.0 out of 5 stars,Best value for money.,Size: 8GB+256GB
21-Aug-19,,Amazon Customer,5.0 out of 5 stars,Perfect pick,Size: 6GB+128GB
17-Jul-19,One person found this helpful,Karan,3.0 out of 5 stars,not secure,Size: 6GB+128GB
09-Aug-19,One person found this helpful,Anand Phaltane,5.0 out of 5 stars,Absolute Marvel,Size: 8GB+256GB
04-Jul-19,,Sevin Tom Varghese,5.0 out of 5 stars,Best all-rounder..!!,Size: 6GB+128GB
05-Aug-19,,Zaveed,1.0 out of 5 stars,Looks great on paper but the device's performance is not upto the mark.,Size: 6GB+128GB
01-Sep-19,,Sandeep Bhasin,1.0 out of 5 stars,Disappointed,Size: 8GB+256GB
13-Jul-19,,Suresh kumar R,5.0 out of 5 stars,Best flagship phone🥳🥳🥳,Size: 6GB+128GB
09-Jun-19,,Sonu Kumar,5.0 out of 5 stars,Killer love,Size: 6GB+128GB
30-Jul-19,,Makarand N,4.0 out of 5 stars,Great but heavy.!,Size: 6GB+128GB
07-Jun-19,,Arshad,4.0 out of 5 stars,Just one problem.,Size: 8GB+256GB
10-Jul-19,,Kritika,5.0 out of 5 stars,It's worth it,Size: 6GB+128GB
17-Jun-19,3 people found this helpful,Amazon Customer,1.0 out of 5 stars,No headphone jack!!!,Size: 6GB+128GB
11-Sep-19,,Amazon Customer,1.0 out of 5 stars,Worst phone,Size: 8GB+256GB
26-Aug-19,,Swapan Bhattacharya,5.0 out of 5 stars,Bang for buck,Size: 6GB+128GB
21-Jul-19,,Amazon Customer,5.0 out of 5 stars,good,Size: 8GB+256GB
17-Jul-19,One person found this helpful,parneet,1.0 out of 5 stars,Worst ever,Size: 6GB+128GB
15-Jun-19,,Sunayana Mohapatra,5.0 out of 5 stars,Go for 7..amazing 7..in love with 7..,Size: 6GB+128GB
12-Aug-19,,pankaj jadhav,5.0 out of 5 stars,One Plus 7 : A great deal,Size: 6GB+128GB
22-Jul-19,,sabari raj,5.0 out of 5 stars,Good,Size: 6GB+128GB
20-Jul-19,,Amazon Customer,5.0 out of 5 stars,Nice phone for the price,Size: 6GB+128GB
12-Jun-19,One person found this helpful,Pravesh S.,4.0 out of 5 stars,Good for it's price,Size: 6GB+128GB
13-Jun-19,3 people found this helpful,Rajan Waghdhare,2.0 out of 5 stars,Display,Size: 6GB+128GB
06-Sep-19,,Amit Bhatt,5.0 out of 5 stars,Fast And Furious . .Literally,Size: 6GB+128GB
03-Aug-19,,A. Dumbledore.,5.0 out of 5 stars,Good value.,Size: 8GB+256GB
28-Jul-19,,Pankaj Saini,5.0 out of 5 stars,Best in Class,Size: 6GB+128GB
11-Jun-19,,Barathi Krishnan,4.0 out of 5 stars,Insanely Fast,Size: 8GB+256GB
22-Jul-19,,Deephan Dharmalingam,4.0 out of 5 stars,You won't get disappointed ... Performance was awesome.. after 1 month review,Size: 6GB+128GB
20-Jul-19,,Shahroz N.,5.0 out of 5 stars,Excellent,Size: 6GB+128GB
08-Sep-19,,Siddharth Suvagiya,5.0 out of 5 stars,Very Satisfied with my decision to buy Oneplus 7,Size: 6GB+128GB
01-Sep-19,,Akhilesh Khanduri,4.0 out of 5 stars,Best phone to buy at this price,Size: 6GB+128GB
04-Jul-19,,Suman Kumar,5.0 out of 5 stars,Upgraded from my One Plus One - NO REGRET,Size: 6GB+128GB
27-Jun-19,One person found this helpful,Soumiya sankari,4.0 out of 5 stars,Worth to go for it in market standards now,Size: 8GB+256GB
19-Jun-19,,ANISH GANGULY,5.0 out of 5 stars,The Beast is here,Size: 8GB+256GB
05-Aug-19,,Yummy Singh,5.0 out of 5 stars,Another piece of excellence by One plus,Size: 8GB+256GB
14-Jun-19,,Suraj,5.0 out of 5 stars,Best buy for 30k range.,Size: 6GB+128GB
15-Jul-19,One person found this helpful,Udi Birpalia ,4.0 out of 5 stars,One plus 7 review,Size: 6GB+128GB
03-Jul-19,,Mahesh Kumar B,5.0 out of 5 stars,OnePlus 7 definitely a top flagship mobile phone,Size: 6GB+128GB
21-Jun-19,,javed akhtar,4.0 out of 5 stars,Good but not excellent,Size: 8GB+256GB
16-Aug-19,,Sumit Jain,4.0 out of 5 stars,A devide that will give you the speed you need,Size: 6GB+128GB
18-Jul-19,,f.Mohammed areeb,5.0 out of 5 stars,Excellent product,Size: 8GB+256GB
17-Aug-19,,harshad,5.0 out of 5 stars,Amazing product,Size: 6GB+128GB
04-Sep-19,,Dinesh,4.0 out of 5 stars,Flagship monster,Size: 8GB+256GB
24-Jun-19,One person found this helpful,Prasanna gangawane,5.0 out of 5 stars,Worth your money,Size: 6GB+128GB
30-Jun-19,,rohit singh,5.0 out of 5 stars,OnePlus 7 best with caveats,Size: 6GB+128GB
13-Jun-19,One person found this helpful,Uday sinha,3.0 out of 5 stars,screen guard is damaged,Size: 8GB+256GB
13-Jun-19,,Amazon Customer,5.0 out of 5 stars,This is a real flagship!!!,Size: 6GB+128GB
06-Jul-19,,Kaushik,5.0 out of 5 stars,Best phone in it's class,Size: 6GB+128GB
21-Jun-19,One person found this helpful,Sanjay Salian,5.0 out of 5 stars,Good Product...Loved it...,Size: 6GB+128GB
12-Jun-19,3 people found this helpful,Mausam,1.0 out of 5 stars,NOT WORKING,Size: 6GB+128GB
09-Jul-19,,Amazon Customer,1.0 out of 5 stars,wrong decision to buy,Size: 6GB+128GB
07-Jun-19,,Udit,5.0 out of 5 stars,OnePlus 7- Must Buy !!!,Size: 6GB+128GB
24-Jun-19,,Dhaval Mistry,5.0 out of 5 stars,One of the best phones I have ever used.,Size: 8GB+256GB
14-Sep-19,,Abhilash K.,5.0 out of 5 stars,Best value Package smartphone.,Size: 6GB+128GB
24-Jun-19,One person found this helpful,Sanjoy Kr Roy,1.0 out of 5 stars,Exchange of Phone,Size: 8GB+256GB
01-Aug-19,,Tushar Mangalam ,3.0 out of 5 stars,Poor fingerprint sensor and bad build quality,Size: 6GB+128GB
20-Jun-19,,Anas khan,5.0 out of 5 stars,Worth 31k,Size: 6GB+128GB
21-Jun-19,,Shoaib khan,4.0 out of 5 stars,Powerfull phone,Size: 6GB+128GB
17-Jul-19,,kavita,5.0 out of 5 stars,Go beyond fast,Size: 8GB+256GB
18-Aug-19,,Sushil R.,3.0 out of 5 stars,Camera should improve,Size: 6GB+128GB
07-Jun-19,,Amazon Customer,4.0 out of 5 stars,Nice Phone,Size: 6GB+128GB
11-Jun-19,,Shah K.,2.0 out of 5 stars,Disappointed,Size: 6GB+128GB
18-Aug-19,One person found this helpful,Mahesh devari,1.0 out of 5 stars,Really disappointed,Size: 8GB+256GB
08-Jun-19,,tushar kalra,5.0 out of 5 stars,The perfect smooth,Size: 6GB+128GB
27-Aug-19,,Rechal,5.0 out of 5 stars,Always the best😍 ... But jack missing 😔,Size: 8GB+256GB
23-Aug-19,,Akshay,4.0 out of 5 stars,This is the best phone of 2k19,Size: 8GB+256GB
21-Aug-19,,Abhijit,1.0 out of 5 stars,Battery issues detected after 3 months of usage,Size: 6GB+128GB
07-Jun-19,3 people found this helpful,santosh tiwari,5.0 out of 5 stars,Best mobile,Size: 6GB+128GB
12-Jul-19,,sudeepta,5.0 out of 5 stars,Awesome product,Size: 6GB+128GB
18-Jul-19,,Amazon Customer,4.0 out of 5 stars,Very nice product and experience,Size: 6GB+128GB
23-Jun-19,,Ravali Reddy,2.0 out of 5 stars,Battery life sucks,Size: 6GB+128GB
01-Jul-19,One person found this helpful,Rahil M.,5.0 out of 5 stars,Beast from oneplus,Size: 6GB+128GB
23-Aug-19,,Amazon Customer,5.0 out of 5 stars,Practically superb,Size: 6GB+128GB
31-Jul-19,,Naseem Ahmed Khan,5.0 out of 5 stars,Go beyond the speed,Size: 6GB+128GB
07-Jun-19,2 people found this helpful,Johnny Marshal,5.0 out of 5 stars,Good product!🔥,Size: 8GB+256GB
30-Jun-19,One person found this helpful,Naresh ,3.0 out of 5 stars,They gave me a faulty USB cable,Size: 6GB+128GB
10-Jun-19,,K.SHYAM TEJA,5.0 out of 5 stars,Great product this is a flagship killer...,Size: 8GB+256GB
24-Aug-19,,Ajay Mehta,3.0 out of 5 stars,"Very bad Voice quality, No solution by OnePlus",Size: 8GB+256GB
24-Jul-19,,Ashutosh tiwari,4.0 out of 5 stars,Good quality phone with awesome gaming permance.,Size: 6GB+128GB
19-Jun-19,,ABUL MALIK,5.0 out of 5 stars,AN ALROUNDER PHONE WITH BLAZING SPEED@@@,Size: 6GB+128GB
04-Sep-19,,manohar,4.0 out of 5 stars,Quality,Size: 6GB+128GB
07-Jun-19,One person found this helpful,Optum Noida,4.0 out of 5 stars,Superb product,Size: 8GB+256GB
30-Jul-19,,Febin,4.0 out of 5 stars,Good but nothing special,Size: 8GB+256GB
04-Sep-19,,Konstruktion Chemie,1.0 out of 5 stars,Overrated,Size: 8GB+256GB
18-Jun-19,One person found this helpful,SAURABH GUPTA,1.0 out of 5 stars,Cheap phone with cheap features. Don't Buy even for Free,Size: 6GB+128GB
09-Aug-19,,Harendra S.,5.0 out of 5 stars,Very nice.,Size: 6GB+128GB
24-Jul-19,,Kusalava,5.0 out of 5 stars,Awesome phone,Size: 6GB+128GB
26-Jul-19,,Itz_me_mano,5.0 out of 5 stars,Love with camera,Size: 6GB+128GB
11-Jun-19,,tony,5.0 out of 5 stars,One plus 7 is simply special phone!,Size: 6GB+128GB
21-Aug-19,,Kavikumar,5.0 out of 5 stars,Good All-round mobile,Size: 6GB+128GB
30-Aug-19,One person found this helpful,Rahul jain,5.0 out of 5 stars,One month review,Size: 6GB+128GB
29-Jul-19,,Allen Sonwani,5.0 out of 5 stars,"Nice, specially Red variant",Size: 8GB+256GB
20-Jun-19,,tushar paithankar,4.0 out of 5 stars,BEST IN CLASS BUT HAVE TOUFGH COMPETITION FROM OTHER PHONES,Size: 6GB+128GB
12-Aug-19,,Jainif parmar,4.0 out of 5 stars,"Only regret is that i bought it before blue mirror arrived. Other than that, just awesome. ♥️♥️",Size: 6GB+128GB
11-Jun-19,,Amar Reddy,4.0 out of 5 stars,No headphones,Size: 8GB+256GB
20-Aug-19,,Amazon Customer,5.0 out of 5 stars,Best and most economical premium phone,Size: 6GB+128GB
20-Sep-19,,Lalu R R,3.0 out of 5 stars,Battery life is too bad,Size: 8GB+256GB
19-Aug-19,,Ujjwal Mahajan,5.0 out of 5 stars,The best,Size: 6GB+128GB
13-Jun-19,,Amazon Customer,3.0 out of 5 stars,awesome mobile with some issues..,Size: 6GB+128GB
09-Jun-19,,Ankit,5.0 out of 5 stars,Superb Looks and feel. Awesome performance.,Size: 8GB+256GB
10-Jun-19,,Nee1114,4.0 out of 5 stars,Best buy for the buck!!!,Size: 6GB+128GB
20-Aug-19,,Amazon Customer,5.0 out of 5 stars,My first and best phone ever in my life.,Size: 6GB+128GB
05-Jul-19,,Yogesh,5.0 out of 5 stars,"Everything is going well, but have an issue with camera",Size: 6GB+128GB
07-Aug-19,2 people found this helpful,Amazon Customer,1.0 out of 5 stars,Hanging,Size: 6GB+128GB
28-Aug-19,,Tojo dirchi,5.0 out of 5 stars,Still a Flagship killer,Size: 6GB+128GB
25-Jun-19,,kamlesh,4.0 out of 5 stars,Perfection,Size: 8GB+256GB
01-Aug-19,,Palwinder S.,5.0 out of 5 stars,Amazing phone. Best value for money.,Size: 6GB+128GB
07-Jun-19,,Nishanth N Shetty,3.0 out of 5 stars,HARDWARE ISSUE,Size: 8GB+256GB
18-Jun-19,,shekhar bansal,5.0 out of 5 stars,Awesome one plus,Size: 6GB+128GB
18-Jul-19,,Jerin Johnson,5.0 out of 5 stars,Happy with the purchase,Size: 8GB+256GB
08-Jul-19,,Amazon Customer,3.0 out of 5 stars,"Bit costly ,worth for money",Size: 6GB+128GB
26-Jul-19,,Amazon Customer,5.0 out of 5 stars,The Real Beast Is Here..,Size: 6GB+128GB
24-Jun-19,,Suryakant Kharatmal,5.0 out of 5 stars,Excellent Phone by one+,Size: 6GB+128GB
06-Jul-19,,MAULIK PATEL,5.0 out of 5 stars,Predator One Plus 7 . Must Buy. Real value for money,Size: 8GB+256GB
07-Jun-19,,Rajnish bhargav,4.0 out of 5 stars,Go beyond speed fast and smooth by Rajnish* Give 4.5 stars,Size: 6GB+128GB
08-Jun-19,2 people found this helpful,Amazon Customer,5.0 out of 5 stars,10 out of 5 star,Size: 6GB+128GB
08-Jul-19,,Parth,4.0 out of 5 stars,Overall great phone but camera needs improvement,Size: 6GB+128GB
29-Jul-19,,Bumpu,5.0 out of 5 stars,Good flagship Mobile from OnePlus,Size: 8GB+256GB
21-Jun-19,,Arvind,4.0 out of 5 stars,Nice mobile,Size: 6GB+128GB
21-Jun-19,One person found this helpful,DEBMALYA MAHAPATRA,4.0 out of 5 stars,Type c to 3.5 mm audio jack converter should be included,Size: 6GB+128GB
12-Jul-19,,Anandha kumar.g,5.0 out of 5 stars,Camera was not up to the mark,Size: 8GB+256GB
05-Jul-19,,Basha ,2.0 out of 5 stars,Mobile was struced and some apps are automatically closed .,Size: 8GB+256GB
02-Sep-19,One person found this helpful,Amazon Customer,5.0 out of 5 stars,Awsome product,Size: 6GB+128GB
02-Jul-19,One person found this helpful,A n u r a G,4.0 out of 5 stars,Amazing performance,Size: 6GB+128GB
08-Jun-19,,Aditya Kothari,5.0 out of 5 stars,A true premium phone!,Size: 8GB+256GB
11-Jun-19,,shobhit,5.0 out of 5 stars,Performance beast,Size: 6GB+128GB
01-Aug-19,,ROUMYAKANTA,3.0 out of 5 stars,Average,Size: 6GB+128GB
14-Aug-19,,Knishka,5.0 out of 5 stars,One plus 7 rockzzzzz,Size: 6GB+128GB
20-Jul-19,,Drishti,5.0 out of 5 stars,Not much difference between 6t and 7,Size: 6GB+128GB
08-Jun-19,,Warrior of Peace,5.0 out of 5 stars,A Masterstroke by OnePlus.,Size: 6GB+128GB
31-Jul-19,,Surendheran,3.0 out of 5 stars,Good product but priced high!,Size: 6GB+128GB
08-Jun-19,,Amazon Customer,5.0 out of 5 stars,Great product and great amazon,Size: 6GB+128GB
09-Jul-19,One person found this helpful,Ankur Shrivastava,1.0 out of 5 stars,Worst fingerprint scanner.,Size: 8GB+256GB
11-Jun-19,,Rahul ,5.0 out of 5 stars,Beat deal out of the box,Size: 6GB+128GB
05-Aug-19,,Ankit Kumar,5.0 out of 5 stars,Overall gud phone.,Size: 8GB+256GB
18-Aug-19,,RK,2.0 out of 5 stars,Security issues.. getting unlocked without a password,Size: 6GB+128GB
18-Aug-19,,Amritha,5.0 out of 5 stars,Great product. Best buy,Size: 6GB+128GB
21-Aug-19,,Udayakumar V,4.0 out of 5 stars,Disappointing Camera,Size: 6GB+128GB
10-Aug-19,,Bhavika,5.0 out of 5 stars,"Camera, speed, earphone",Size: 6GB+128GB
13-Jun-19,2 people found this helpful,pranesh bazzz,5.0 out of 5 stars,Speakers problem,Size: 8GB+256GB
19-Aug-19,,Madhura Bhagat,5.0 out of 5 stars,So far so good,Size: 8GB+256GB
20-Aug-19,,lokesh,5.0 out of 5 stars,Must buy,Size: 8GB+256GB
19-Aug-19,,romesh,5.0 out of 5 stars,Oneplus 7 Worth it...only check with the deilvery process,Size: 6GB+128GB
05-Aug-19,,Vishesh Katyal,5.0 out of 5 stars,Another flagship by One Plus 🤘,Size: 6GB+128GB
21-Aug-19,,BHAVIK,5.0 out of 5 stars,Gr8 phone with unbelievably gr8 performance,Size: 6GB+128GB
30-Aug-19,,Hotel Niharika,1.0 out of 5 stars,POOR BATTERY LIFE & bad camera,Size: 8GB+256GB
17-Aug-19,One person found this helpful,hypertroph,3.0 out of 5 stars,The phone keeps losing network.,Size: 6GB+128GB
07-Jun-19,3 people found this helpful,Prathamesh,5.0 out of 5 stars,Worth Buying Go For It Guys,Size: 6GB+128GB
25-Jul-19,One person found this helpful,PRAMOD JAIN,5.0 out of 5 stars,"Very good phone, call quality little disappointing",Size: 6GB+128GB
12-Aug-19,,Shivam Gupta,5.0 out of 5 stars,Best best beat,Size: 6GB+128GB
15-Jun-19,One person found this helpful,Amazon Customer,5.0 out of 5 stars,4 AND HALF STARS,Size: 6GB+128GB
01-Aug-19,,Nimit Vaid,5.0 out of 5 stars,"All plus, No Minus",Size: 6GB+128GB
02-Jul-19,,Amazon Customer,1.0 out of 5 stars,not a good quality product,Size: 6GB+128GB
27-Jun-19,,BD,5.0 out of 5 stars,No regrets,Size: 6GB+128GB
27-Aug-19,,Deepak,4.0 out of 5 stars,Experience Matters,Size: 6GB+128GB
10-Jul-19,,Nithin,5.0 out of 5 stars,Excellent performance,Size: 6GB+128GB
13-Jun-19,One person found this helpful,Krishnareddy.Daggula,4.0 out of 5 stars,Power pack mobile,Size: 6GB+128GB
07-Jun-19,2 people found this helpful,kauser,5.0 out of 5 stars,Awesome value for money,Size: 6GB+128GB
10-Jun-19,,Ganesh Yadav,5.0 out of 5 stars,Awesome phone 👍,Size: 6GB+128GB
31-Jul-19,,Kerul Patel,4.0 out of 5 stars,Over rated phone.,Size: 6GB+128GB
02-Jul-19,,Dipan Das,5.0 out of 5 stars,The best phone around 30k range,Size: 6GB+128GB
27-Jul-19,,Abhisek Banerjee,5.0 out of 5 stars,THE BEAST 💪🔥🔥,Size: 8GB+256GB
12-Aug-19,,Ravindrasinh Arvindsinh Mahida,5.0 out of 5 stars,Pure & Perfect smartphone in all aspects..Hats off,Size: 6GB+128GB
08-Jun-19,,Joel Mathai,5.0 out of 5 stars,Never settle? but I am settled for this phone 😁,Size: 6GB+128GB
21-Aug-19,,Taikhoom,5.0 out of 5 stars,Value for money,Size: 6GB+128GB
29-Jul-19,,Aayushman Srivastava,5.0 out of 5 stars,What a Camera...,Size: 6GB+128GB
04-Aug-19,,Amazon Customer,5.0 out of 5 stars,70-30,Size: 6GB+128GB
24-Jun-19,,Lucky Shukla,5.0 out of 5 stars,Perfection is all about Performance... OnePlus 7 Owns it✌️,Size: 6GB+128GB
24-Jun-19,,Ashish Kumar Padhy,5.0 out of 5 stars,Excellent phone...,Size: 6GB+128GB
12-Aug-19,,rupesh charwak,5.0 out of 5 stars,Interesting phone ... Exploring still,Size: 6GB+128GB
15-Aug-19,,YOGESH KHERA,3.0 out of 5 stars,Sub standard quality.,Size: 6GB+128GB
21-Aug-19,,paramjeet singh Kalsi,5.0 out of 5 stars,A phone for tech lovers,Size: 8GB+256GB
26-Aug-19,,Pawan Kumar,5.0 out of 5 stars,One problem found but it is a good phone,Size: 6GB+128GB
13-Jun-19,2 people found this helpful,Avinash Chappidi,4.0 out of 5 stars,Could be better,Size: 6GB+128GB
28-Jul-19,,gautam k,2.0 out of 5 stars,Usage Feedback,Size: 6GB+128GB
16-Jun-19,,Rouf Rashid ,4.0 out of 5 stars,Beast in an affordable price,Size: 6GB+128GB
12-Aug-19,,Amazon Customer,5.0 out of 5 stars,Best performer,Size: 6GB+128GB
11-Aug-19,,Dhananjay Parmar,3.0 out of 5 stars,Charger is damaged,Size: 6GB+128GB
29-Jul-19,,Vishal Raymal,5.0 out of 5 stars,Worth of Money- Smoothest SmartPhone,Size: 6GB+128GB
18-Aug-19,,Amazon Customer,3.0 out of 5 stars,Beautiful except Camera quality,Size: 8GB+256GB
08-Jun-19,,Raghu Ram,5.0 out of 5 stars,Killer mobile,Size: 6GB+128GB
15-Jun-19,,benkatesh kumar,5.0 out of 5 stars,Camera needs improvement rest is wonderful.,Size: 6GB+128GB
06-Sep-19,,Amazon Customer,5.0 out of 5 stars,All rounder beast,Size: 8GB+256GB
28-Jul-19,,Komal kumar anku,1.0 out of 5 stars,"Plz exchange my phone with same variant or higher . It's hanging always, plz do something.",Size: 6GB+128GB
30-Jun-19,One person found this helpful,AK,5.0 out of 5 stars,An amazing phone,Size: 6GB+128GB
21-Jun-19,One person found this helpful,Aditi Paresh Kshirsagar,4.0 out of 5 stars,First Review One Plus 7,Size: 8GB+256GB
14-Jul-19,,Vivek Kataria,4.0 out of 5 stars,If your looking for an alrounder you should buy it,Size: 6GB+128GB
22-Jul-19,,Manoj Bhogireddy,5.0 out of 5 stars,Need to improve.......,Size: 8GB+256GB
20-Jul-19,,Vinay,5.0 out of 5 stars,No need to explain a lot.,Size: 6GB+128GB
08-Jun-19,,nithan,5.0 out of 5 stars,Excellent product,Size: 8GB+256GB
07-Sep-19,,arun kumaravel,2.0 out of 5 stars,One plus major issue,Size: 6GB+128GB
29-Jun-19,,Palash Sardar,5.0 out of 5 stars,WORST EXPERIENCE,Size: 6GB+128GB
25-Aug-19,,Adarsh Chakraborty,5.0 out of 5 stars,OnePlus is Class!,Size: 6GB+128GB
05-Aug-19,,Atul D.,2.0 out of 5 stars,No value for Money (Artificial Intelligence less features compare to other low cost phones Like MI.,Size: 8GB+256GB
23-Aug-19,,Ktaneja,5.0 out of 5 stars,Amazing Oneplus,Size: 6GB+128GB
17-Jun-19,,Jagdish Parmar,4.0 out of 5 stars,Great deal,Size: 6GB+128GB
29-Jun-19,,Varun,5.0 out of 5 stars,One plus 7 review .,Size: 6GB+128GB
16-Jul-19,,Akash Singh,5.0 out of 5 stars,OnePlus delivers once again,Size: 6GB+128GB
30-Jul-19,,Amazon Customer,5.0 out of 5 stars,Awesome phone,Size: 6GB+128GB
15-Aug-19,,N Santhosh,5.0 out of 5 stars,Value for the money,Size: 6GB+128GB
03-Aug-19,,Kush@A,4.0 out of 5 stars,Phone is great,Size: 6GB+128GB
08-Jun-19,,Shyam Nandan Choudhary,5.0 out of 5 stars,value for money product,Size: 6GB+128GB
